,index,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Away,daysRest
0,0,1,1,2017-10-18,27-095,POR,@,PHO,W (+48),1,29:39,10,20,.500,4,6,.667,3,3,1.000,3,2,5,5,1,3,0,1,27,25.9,+34,1,99.0
1,1,2,2,2017-10-20,27-097,POR,@,IND,W (+18),1,32:59,7,17,.412,0,3,.000,4,4,1.000,0,7,7,7,1,1,0,2,18,16.8,+25,1,2.0
2,2,3,3,2017-10-21,27-098,POR,@,MIL,L (-3),1,34:27,6,15,.400,3,6,.500,11,12,.917,2,3,5,4,4,0,6,5,26,18.6,-5,1,1.0
3,3,4,4,2017-10-24,27-101,POR,,NOP,W (+10),1,35:19,3,16,.188,1,8,.125,6,9,.667,1,4,5,7,1,0,6,0,13,3.6,+3,0,3.0
4,4,5,5,2017-10-26,27-103,POR,,LAC,L (-1),1,38:20,7,19,.368,4,9,.444,7,7,1.000,0,2,2,6,0,0,1,3,25,17.1,+1,0,2.0
5,5,6,6,2017-10-28,27-105,POR,,PHO,W (+7),1,35:40,7,21,.333,3,8,.375,8,9,.889,3,4,7,9,1,0,2,2,25,20.5,+2,0,2.0
6,6,7,7,2017-10-30,27-107,POR,,TOR,L (-14),1,40:36,12,23,.522,3,8,.375,9,10,.900,1,1,2,2,2,1,6,0,36,23.4,-7,0,2.0
7,7,8,8,2017-11-01,27-109,POR,@,UTA,L (-9),1,43:09,12,27,.444,4,15,.267,5,5,1.000,2,8,10,8,2,1,5,3,33,24.8,+1,1,2.0
8,8,9,9,2017-11-02,27-110,POR,,LAL,W (+3),1,38:43,8,18,.444,2,6,.333,14,14,1.000,2,4,6,5,0,0,2,2,32,25.9,+6,0,1.0
9,9,10,10,2017-11-05,27-113,POR,,OKC,W (+4),1,37:04,10,18,.556,1,5,.200,15,15,1.000,1,4,5,13,0,1,2,2,36,36.3,+14,0,3.0
10,10,11,11,2017-11-07,27-115,POR,,MEM,L (-1),1,34:29,4,16,.250,0,5,.000,4,4,1.000,1,4,5,6,1,0,5,2,12,3.7,-10,0,2.0
11,11,12,12,2017-11-10,27-118,POR,,BRK,L (-4),1,35:52,7,16,.438,1,5,.200,4,5,.800,2,7,9,6,0,0,2,1,19,15.5,-12,0,3.0
12,12,13,13,2017-11-13,27-121,POR,,DEN,W (+17),1,33:49,4,14,.286,2,8,.250,5,5,1.000,1,4,5,7,4,0,4,1,15,13.2,+4,0,3.0
13,13,14,14,2017-11-15,27-123,POR,,ORL,W (+5),1,37:22,9,21,.429,5,10,.500,3,4,.750,1,10,11,7,0,0,2,1,26,20.7,+8,0,2.0
14,14,15,15,2017-11-17,27-125,POR,@,SAC,L (-4),1,36:51,9,24,.375,5,14,.357,6,6,1.000,0,1,1,4,1,1,1,0,29,19.6,+8,1,2.0
