,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 18, 2017",8:30p  ET,,Box Score,@,Dallas Mavericks,W,,117,111,1,0,W 1,
1,2,"Fri, Oct 20, 2017",7:00p  ET,,Box Score,@,Charlotte Hornets,L,,91,109,1,1,L 1,
2,3,"Sun, Oct 22, 2017",3:30p  ET,,Box Score,@,Brooklyn Nets,L,,104,116,1,2,L 2,
3,4,"Mon, Oct 23, 2017",7:30p  ET,,Box Score,@,Miami Heat,L,,93,104,1,3,L 3,
4,5,"Thu, Oct 26, 2017",8:00p  ET,,Box Score,@,Chicago Bulls,L,,86,91,1,4,L 4,
5,6,"Fri, Oct 27, 2017",7:30p  ET,,Box Score,,Denver Nuggets,L,,100,105,1,5,L 5,
6,7,"Sun, Oct 29, 2017",3:30p  ET,,Box Score,,Milwaukee Bucks,L,,106,117,1,6,L 6,
7,8,"Wed, Nov 1, 2017",7:00p  ET,,Box Score,@,Philadelphia 76ers,L,,109,119,1,7,L 7,
8,9,"Fri, Nov 3, 2017",7:30p  ET,,Box Score,,Houston Rockets,L,,104,119,1,8,L 8,
9,10,"Sun, Nov 5, 2017",3:00p  ET,,Box Score,@,Cleveland Cavaliers,W,,117,115,2,8,W 1,
10,11,"Mon, Nov 6, 2017",7:30p  ET,,Box Score,,Boston Celtics,L,,107,110,2,9,L 1,
11,12,"Fri, Nov 10, 2017",7:00p  ET,,Box Score,@,Detroit Pistons,L,,104,111,2,10,L 2,
12,13,"Sat, Nov 11, 2017",7:00p  ET,,Box Score,@,Washington Wizards,L,,94,113,2,11,L 3,
13,14,"Mon, Nov 13, 2017",8:00p  ET,,Box Score,@,New Orleans Pelicans,L,,105,106,2,12,L 4,
14,15,"Wed, Nov 15, 2017",7:30p  ET,,Box Score,,Sacramento Kings,W,,126,80,3,12,W 1,
15,16,"Sat, Nov 18, 2017",7:30p  ET,,Box Score,,Boston Celtics,L,,99,110,3,13,L 1,
16,17,"Mon, Nov 20, 2017",8:30p  ET,,Box Score,@,San Antonio Spurs,L,,85,96,3,14,L 2,
17,18,"Wed, Nov 22, 2017",7:30p  ET,,Box Score,,Los Angeles Clippers,L,,103,116,3,15,L 3,
18,19,"Fri, Nov 24, 2017",7:30p  ET,,Box Score,,New York Knicks,W,,116,104,4,15,W 1,
19,20,"Sat, Nov 25, 2017",7:30p  ET,,Box Score,,Toronto Raptors,L,,78,112,4,16,L 1,
21,21,"Thu, Nov 30, 2017",7:30p  ET,,Box Score,,Cleveland Cavaliers,L,,114,121,4,17,L 2,
22,22,"Sat, Dec 2, 2017",3:00p  ET,,Box Score,@,Brooklyn Nets,W,,114,102,5,17,W 1,
23,23,"Mon, Dec 4, 2017",7:30p  ET,,Box Score,,Brooklyn Nets,L,,90,110,5,18,L 1,
24,24,"Wed, Dec 6, 2017",7:00p  ET,,Box Score,@,Orlando Magic,L,OT,106,110,5,19,L 2,
25,25,"Sat, Dec 9, 2017",7:30p  ET,,Box Score,,Orlando Magic,W,,117,110,6,19,W 1,
26,26,"Sun, Dec 10, 2017",7:30p  ET,,Box Score,@,New York Knicks,L,,107,111,6,20,L 1,
27,27,"Tue, Dec 12, 2017",7:00p  ET,,Box Score,@,Cleveland Cavaliers,L,,114,123,6,21,L 2,
28,28,"Thu, Dec 14, 2017",7:30p  ET,,Box Score,,Detroit Pistons,L,,91,105,6,22,L 3,
29,29,"Fri, Dec 15, 2017",8:00p  ET,,Box Score,@,Memphis Grizzlies,L,,94,96,6,23,L 4,
30,30,"Mon, Dec 18, 2017",7:30p  ET,,Box Score,,Miami Heat,W,,110,104,7,23,W 1,
31,31,"Wed, Dec 20, 2017",7:30p  ET,,Box Score,,Indiana Pacers,L,,95,105,7,24,L 1,
32,32,"Fri, Dec 22, 2017",8:00p  ET,,Box Score,@,Oklahoma City Thunder,L,,117,120,7,25,L 2,
33,33,"Sat, Dec 23, 2017",7:30p  ET,,Box Score,,Dallas Mavericks,W,,112,107,8,25,W 1,
34,34,"Wed, Dec 27, 2017",7:30p  ET,,Box Score,,Washington Wizards,W,,113,99,9,25,W 2,
35,35,"Fri, Dec 29, 2017",7:30p  ET,,Box Score,@,Toronto Raptors,L,,98,111,9,26,L 1,
36,36,"Sat, Dec 30, 2017",7:30p  ET,,Box Score,,Portland Trail Blazers,W,,104,89,10,26,W 1,
37,37,"Tue, Jan 2, 2018",9:00p  ET,,Box Score,@,Phoenix Suns,L,,103,104,10,27,L 1,
38,38,"Fri, Jan 5, 2018",10:00p  ET,,Box Score,@,Portland Trail Blazers,L,,89,110,10,28,L 2,
39,39,"Sun, Jan 7, 2018",9:30p  ET,,Box Score,@,Los Angeles Lakers,L,,113,132,10,29,L 3,
40,40,"Mon, Jan 8, 2018",10:30p  ET,,Box Score,@,Los Angeles Clippers,L,,107,108,10,30,L 4,
42,41,"Wed, Jan 10, 2018",9:00p  ET,,Box Score,@,Denver Nuggets,W,,110,97,11,30,W 1,
43,42,"Fri, Jan 12, 2018",7:30p  ET,,Box Score,,Brooklyn Nets,L,,105,110,11,31,L 1,
44,43,"Mon, Jan 15, 2018",3:00p  ET,,Box Score,,San Antonio Spurs,W,,102,99,12,31,W 1,
45,44,"Wed, Jan 17, 2018",7:30p  ET,,Box Score,,New Orleans Pelicans,W,,94,93,13,31,W 2,
46,45,"Sat, Jan 20, 2018",5:00p  ET,,Box Score,,Chicago Bulls,L,,97,113,13,32,L 1,
47,46,"Mon, Jan 22, 2018",7:30p  ET,,Box Score,,Utah Jazz,W,,104,90,14,32,W 1,
