,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Tue, Oct 17, 2017",8:01p  ET,,Box Score,,Boston Celtics,W,,102,99,1,0,W 1,
1,2,"Fri, Oct 20, 2017",7:00p  ET,,Box Score,@,Milwaukee Bucks,W,,116,97,2,0,W 2,
2,3,"Sat, Oct 21, 2017",8:00p  ET,,Box Score,,Orlando Magic,L,,93,114,2,1,L 1,
3,4,"Tue, Oct 24, 2017",7:00p  ET,,Box Score,,Chicago Bulls,W,,119,112,3,1,W 1,
4,5,"Wed, Oct 25, 2017",7:30p  ET,,Box Score,@,Brooklyn Nets,L,,107,112,3,2,L 1,
5,6,"Sat, Oct 28, 2017",7:00p  ET,,Box Score,@,New Orleans Pelicans,L,,101,123,3,3,L 2,
6,7,"Sun, Oct 29, 2017",7:00p  ET,,Box Score,,New York Knicks,L,,95,114,3,4,L 3,
7,8,"Wed, Nov 1, 2017",7:00p  ET,,Box Score,,Indiana Pacers,L,,107,124,3,5,L 4,
8,9,"Fri, Nov 3, 2017",7:00p  ET,,Box Score,@,Washington Wizards,W,,130,122,4,5,W 1,
9,10,"Sun, Nov 5, 2017",3:00p  ET,,Box Score,,Atlanta Hawks,L,,115,117,4,6,L 1,
10,11,"Tue, Nov 7, 2017",7:00p  ET,,Box Score,,Milwaukee Bucks,W,,124,119,5,6,W 1,
11,12,"Thu, Nov 9, 2017",8:00p  ET,,Box Score,@,Houston Rockets,L,,113,117,5,7,L 1,
12,13,"Sat, Nov 11, 2017",8:30p  ET,,Box Score,@,Dallas Mavericks,W,,111,104,6,7,W 1,
13,14,"Mon, Nov 13, 2017",7:30p  ET,,Box Score,@,New York Knicks,W,,104,101,7,7,W 2,
14,15,"Wed, Nov 15, 2017",8:00p  ET,,Box Score,@,Charlotte Hornets,W,,115,107,8,7,W 3,
15,16,"Fri, Nov 17, 2017",7:30p  ET,,Box Score,,Los Angeles Clippers,W,OT,118,113,9,7,W 4,
16,17,"Mon, Nov 20, 2017",7:00p  ET,,Box Score,@,Detroit Pistons,W,,116,88,10,7,W 5,
17,18,"Wed, Nov 22, 2017",7:00p  ET,,Box Score,,Brooklyn Nets,W,,119,109,11,7,W 6,
18,19,"Fri, Nov 24, 2017",8:00p  ET,,Box Score,,Charlotte Hornets,W,,100,99,12,7,W 7,
19,20,"Mon, Nov 27, 2017",7:00p  ET,,Box Score,@,Philadelphia 76ers,W,,113,91,13,7,W 8,
21,21,"Tue, Nov 28, 2017",7:00p  ET,,Box Score,,Miami Heat,W,,108,97,14,7,W 9,
22,22,"Thu, Nov 30, 2017",7:30p  ET,,Box Score,@,Atlanta Hawks,W,,121,114,15,7,W 10,
23,23,"Sat, Dec 2, 2017",7:30p  ET,,Box Score,,Memphis Grizzlies,W,,116,111,16,7,W 11,
