,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 18, 2017",8:30p  ET,,Box Score,,Atlanta Hawks,L,,111,117,0,1,L 1,
1,2,"Fri, Oct 20, 2017",8:30p  ET,,Box Score,,Sacramento Kings,L,,88,93,0,2,L 2,
2,3,"Sat, Oct 21, 2017",8:00p  ET,,Box Score,@,Houston Rockets,L,,91,107,0,3,L 3,
3,4,"Mon, Oct 23, 2017",8:30p  ET,,Box Score,,Golden State Warriors,L,,103,133,0,4,L 4,
4,5,"Wed, Oct 25, 2017",8:30p  ET,,Box Score,,Memphis Grizzlies,W,,103,94,1,4,W 1,
5,6,"Thu, Oct 26, 2017",8:00p  ET,,Box Score,@,Memphis Grizzlies,L,,91,96,1,5,L 1,
6,7,"Sat, Oct 28, 2017",8:30p  ET,,Box Score,,Philadelphia 76ers,L,,110,112,1,6,L 2,
7,8,"Mon, Oct 30, 2017",9:00p  ET,,Box Score,@,Utah Jazz,L,,89,104,1,7,L 3,
8,9,"Wed, Nov 1, 2017",10:30p  ET,,Box Score,@,Los Angeles Clippers,L,,98,119,1,8,L 4,
9,10,"Fri, Nov 3, 2017",8:30p  ET,,Box Score,,New Orleans Pelicans,L,,94,99,1,9,L 5,
10,11,"Sat, Nov 4, 2017",8:00p  ET,,Box Score,@,Minnesota Timberwolves,L,,99,112,1,10,L 6,
11,12,"Tue, Nov 7, 2017",7:00p  ET,,Box Score,@,Washington Wizards,W,,113,99,2,10,W 1,
12,13,"Sat, Nov 11, 2017",8:30p  ET,,Box Score,,Cleveland Cavaliers,L,,104,111,2,11,L 1,
13,14,"Sun, Nov 12, 2017",7:00p  ET,,Box Score,@,Oklahoma City Thunder,L,,99,112,2,12,L 2,
14,15,"Tue, Nov 14, 2017",8:30p  ET,,Box Score,,San Antonio Spurs,L,,91,97,2,13,L 3,
15,16,"Fri, Nov 17, 2017",8:30p  ET,,Box Score,,Minnesota Timberwolves,L,,87,111,2,14,L 4,
16,17,"Sat, Nov 18, 2017",9:00p  ET,,Box Score,,Milwaukee Bucks,W,,111,79,3,14,W 1,
17,18,"Mon, Nov 20, 2017",8:30p  ET,,Box Score,,Boston Celtics,L,OT,102,110,3,15,L 1,
18,19,"Wed, Nov 22, 2017",8:00p  ET,,Box Score,@,Memphis Grizzlies,W,,95,94,4,15,W 1,
19,20,"Sat, Nov 25, 2017",8:30p  ET,,Box Score,,Oklahoma City Thunder,W,,97,81,5,15,W 2,
