,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 18, 2017",7:00p  ET,,Box Score,,Charlotte Hornets,W,,102,90,1,0,W 1,
1,2,"Fri, Oct 20, 2017",7:00p  ET,,Box Score,@,Washington Wizards,L,,111,115,1,1,L 1,
2,3,"Sat, Oct 21, 2017",8:00p  ET,,Box Score,@,New York Knicks,W,,111,107,2,1,W 1,
3,4,"Mon, Oct 23, 2017",7:00p  ET,,Box Score,,Philadelphia 76ers,L,,86,97,2,2,L 1,
4,5,"Wed, Oct 25, 2017",7:00p  ET,,Box Score,,Minnesota Timberwolves,W,,122,101,3,2,W 1,
5,6,"Sat, Oct 28, 2017",10:30p  ET,,Box Score,@,Los Angeles Clippers,W,,95,87,4,2,W 2,
6,7,"Sun, Oct 29, 2017",8:30p  ET,,Box Score,@,Golden State Warriors,W,,115,107,5,2,W 3,
7,8,"Tue, Oct 31, 2017",10:30p  ET,,Box Score,@,Los Angeles Lakers,L,,93,113,5,3,L 1,
8,9,"Fri, Nov 3, 2017",7:00p  ET,,Box Score,,Milwaukee Bucks,W,,105,96,6,3,W 1,
9,10,"Sat, Nov 4, 2017",7:00p  ET,,Box Score,,Sacramento Kings,W,,108,99,7,3,W 2,
10,11,"Wed, Nov 8, 2017",7:00p  ET,,Box Score,,Indiana Pacers,W,,114,97,8,3,W 3,
11,12,"Fri, Nov 10, 2017",7:00p  ET,,Box Score,,Atlanta Hawks,W,,111,104,9,3,W 4,
12,13,"Sun, Nov 12, 2017",4:00p  ET,,Box Score,,Miami Heat,W,,112,103,10,3,W 5,
13,14,"Wed, Nov 15, 2017",8:00p  ET,,Box Score,@,Milwaukee Bucks,L,,95,99,10,4,L 1,
14,15,"Fri, Nov 17, 2017",7:00p  ET,,Box Score,@,Indiana Pacers,L,,100,107,10,5,L 2,
15,16,"Sun, Nov 19, 2017",7:00p  ET,,Box Score,@,Minnesota Timberwolves,W,,100,97,11,5,W 1,
16,17,"Mon, Nov 20, 2017",7:00p  ET,,Box Score,,Cleveland Cavaliers,L,,88,116,11,6,L 1,
17,18,"Fri, Nov 24, 2017",8:00p  ET,,Box Score,@,Oklahoma City Thunder,W,,99,98,12,6,W 1,
18,19,"Mon, Nov 27, 2017",7:30p  ET,,Box Score,@,Boston Celtics,W,,118,108,13,6,W 2,
19,20,"Wed, Nov 29, 2017",7:00p  ET,,Box Score,,Phoenix Suns,W,,131,107,14,6,W 3,
21,21,"Fri, Dec 1, 2017",7:00p  ET,,Box Score,@,Washington Wizards,L,,91,109,14,7,L 1,
22,22,"Sat, Dec 2, 2017",7:30p  ET,,Box Score,@,Philadelphia 76ers,L,,103,108,14,8,L 2,
23,23,"Mon, Dec 4, 2017",8:30p  ET,,Box Score,@,San Antonio Spurs,L,,93,96,14,9,L 3,
24,24,"Wed, Dec 6, 2017",8:00p  ET,,Box Score,@,Milwaukee Bucks,L,,100,104,14,10,L 4,
25,25,"Fri, Dec 8, 2017",7:00p  ET,,Box Score,,Golden State Warriors,L,,98,102,14,11,L 5,
26,26,"Sun, Dec 10, 2017",4:00p  ET,,Box Score,,Boston Celtics,L,,81,91,14,12,L 6,
27,27,"Tue, Dec 12, 2017",7:00p  ET,,Box Score,,Denver Nuggets,L,,84,103,14,13,L 7,
28,28,"Thu, Dec 14, 2017",7:30p  ET,,Box Score,@,Atlanta Hawks,W,,105,91,15,13,W 1,
29,29,"Fri, Dec 15, 2017",7:00p  ET,,Box Score,@,Indiana Pacers,W,,104,98,16,13,W 2,
30,30,"Sun, Dec 17, 2017",4:00p  ET,,Box Score,,Orlando Magic,W,,114,110,17,13,W 3,
31,31,"Wed, Dec 20, 2017",8:30p  ET,,Box Score,@,Dallas Mavericks,L,,93,110,17,14,L 1,
32,32,"Fri, Dec 22, 2017",7:00p  ET,,Box Score,,New York Knicks,W,,104,101,18,14,W 1,
33,33,"Tue, Dec 26, 2017",7:00p  ET,,Box Score,,Indiana Pacers,W,,107,83,19,14,W 2,
