,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Tue, Oct 17, 2017",10:30p  ET,,Box Score,,Houston Rockets,L,,121,122,0,1,L 1,
1,2,"Fri, Oct 20, 2017",9:30p  ET,,Box Score,@,New Orleans Pelicans,W,,128,120,1,1,W 1,
2,3,"Sat, Oct 21, 2017",8:00p  ET,,Box Score,@,Memphis Grizzlies,L,,101,111,1,2,L 1,
3,4,"Mon, Oct 23, 2017",8:30p  ET,,Box Score,@,Dallas Mavericks,W,,133,103,2,2,W 1,
4,5,"Wed, Oct 25, 2017",10:30p  ET,,Box Score,,Toronto Raptors,W,,117,112,3,2,W 2,
5,6,"Fri, Oct 27, 2017",10:30p  ET,,Box Score,,Washington Wizards,W,,120,117,4,2,W 3,
6,7,"Sun, Oct 29, 2017",8:30p  ET,,Box Score,,Detroit Pistons,L,,107,115,4,3,L 1,
7,8,"Mon, Oct 30, 2017",10:30p  ET,,Box Score,@,Los Angeles Clippers,W,,141,113,5,3,W 1,
8,9,"Thu, Nov 2, 2017",8:00p  ET,,Box Score,@,San Antonio Spurs,W,,112,92,6,3,W 2,
9,10,"Sat, Nov 4, 2017",9:00p  ET,,Box Score,@,Denver Nuggets,W,,127,108,7,3,W 3,
10,11,"Mon, Nov 6, 2017",10:30p  ET,,Box Score,,Miami Heat,W,,97,80,8,3,W 4,
11,12,"Wed, Nov 8, 2017",10:30p  ET,,Box Score,,Minnesota Timberwolves,W,,125,101,9,3,W 5,
12,13,"Sat, Nov 11, 2017",8:30p  ET,,Box Score,,Philadelphia 76ers,W,,135,114,10,3,W 6,
13,14,"Mon, Nov 13, 2017",10:30p  ET,,Box Score,,Orlando Magic,W,,110,100,11,3,W 7,
14,15,"Thu, Nov 16, 2017",8:00p  ET,,Box Score,@,Boston Celtics,L,,88,92,11,4,L 1,
15,16,"Sat, Nov 18, 2017",7:30p  ET,,Box Score,@,Philadelphia 76ers,W,,124,116,12,4,W 1,
16,17,"Sun, Nov 19, 2017",6:00p  ET,,Box Score,@,Brooklyn Nets,W,,118,111,13,4,W 2,
17,18,"Wed, Nov 22, 2017",8:00p  ET,,Box Score,@,Oklahoma City Thunder,L,,91,108,13,5,L 1,
18,19,"Fri, Nov 24, 2017",10:30p  ET,,Box Score,,Chicago Bulls,W,,143,94,14,5,W 1,
19,20,"Sat, Nov 25, 2017",8:30p  ET,,Box Score,,New Orleans Pelicans,W,,110,95,15,5,W 2,
21,21,"Mon, Nov 27, 2017",10:30p  ET,,Box Score,,Sacramento Kings,L,,106,110,15,6,L 1,
22,22,"Wed, Nov 29, 2017",10:30p  ET,,Box Score,@,Los Angeles Lakers,W,OT,127,123,16,6,W 1,
23,23,"Fri, Dec 1, 2017",7:00p  ET,,Box Score,@,Orlando Magic,W,,133,112,17,6,W 2,
