,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 18, 2017",8:00p  ET,,Box Score,,New Orleans Pelicans,W,,103,91,1,0,W 1,
1,2,"Sat, Oct 21, 2017",8:00p  ET,,Box Score,,Golden State Warriors,W,,111,101,2,0,W 2,
2,3,"Mon, Oct 23, 2017",8:00p  ET,,Box Score,@,Houston Rockets,W,,98,90,3,0,W 3,
3,4,"Wed, Oct 25, 2017",8:30p  ET,,Box Score,@,Dallas Mavericks,L,,94,103,3,1,L 1,
4,5,"Thu, Oct 26, 2017",8:00p  ET,,Box Score,,Dallas Mavericks,W,,96,91,4,1,W 1,
5,6,"Sat, Oct 28, 2017",8:00p  ET,,Box Score,,Houston Rockets,W,,103,89,5,1,W 2,
6,7,"Mon, Oct 30, 2017",8:00p  ET,,Box Score,,Charlotte Hornets,L,,99,104,5,2,L 1,
7,8,"Wed, Nov 1, 2017",8:00p  ET,,Box Score,,Orlando Magic,L,,99,101,5,3,L 2,
8,9,"Sat, Nov 4, 2017",3:30p  ET,,Box Score,@,Los Angeles Clippers,W,,113,104,6,3,W 1,
9,10,"Sun, Nov 5, 2017",9:30p  ET,,Box Score,@,Los Angeles Lakers,L,,102,107,6,4,L 1,
10,11,"Tue, Nov 7, 2017",10:00p  ET,,Box Score,@,Portland Trail Blazers,W,,98,97,7,4,W 1,
11,12,"Sat, Nov 11, 2017",8:00p  ET,,Box Score,@,Houston Rockets,L,,96,111,7,5,L 1,
12,13,"Mon, Nov 13, 2017",8:00p  ET,,Box Score,@,Milwaukee Bucks,L,,103,110,7,6,L 2,
13,14,"Wed, Nov 15, 2017",8:00p  ET,,Box Score,,Indiana Pacers,L,,113,116,7,7,L 3,
14,15,"Sat, Nov 18, 2017",8:00p  ET,,Box Score,,Houston Rockets,L,,83,105,7,8,L 4,
15,16,"Mon, Nov 20, 2017",8:00p  ET,,Box Score,,Portland Trail Blazers,L,,92,100,7,9,L 5,
16,17,"Wed, Nov 22, 2017",8:00p  ET,,Box Score,,Dallas Mavericks,L,,94,95,7,10,L 6,
17,18,"Fri, Nov 24, 2017",9:00p  ET,,Box Score,@,Denver Nuggets,L,,92,104,7,11,L 7,
18,19,"Sun, Nov 26, 2017",6:00p  ET,,Box Score,,Brooklyn Nets,L,,88,98,7,12,L 8,
19,20,"Wed, Nov 29, 2017",8:30p  ET,,Box Score,@,San Antonio Spurs,L,,95,104,7,13,L 9,
21,21,"Fri, Dec 1, 2017",8:00p  ET,,Box Score,,San Antonio Spurs,L,,79,95,7,14,L 10,
22,22,"Sat, Dec 2, 2017",7:30p  ET,,Box Score,@,Cleveland Cavaliers,L,,111,116,7,15,L 11,
23,23,"Mon, Dec 4, 2017",8:00p  ET,,Box Score,,Minnesota Timberwolves,W,,95,92,8,15,W 1,
24,24,"Wed, Dec 6, 2017",7:30p  ET,,Box Score,@,New York Knicks,L,,88,99,8,16,L 1,
25,25,"Fri, Dec 8, 2017",8:00p  ET,,Box Score,,Toronto Raptors,L,,107,116,8,17,L 2,
26,26,"Sat, Dec 9, 2017",9:00p  ET,,Box Score,,Oklahoma City Thunder,L,OT,101,102,8,18,L 3,
27,27,"Mon, Dec 11, 2017",8:00p  ET,,Box Score,,Miami Heat,L,,82,107,8,19,L 4,
28,28,"Wed, Dec 13, 2017",7:00p  ET,,Box Score,@,Washington Wizards,L,,87,93,8,20,L 5,
