,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 18, 2017",7:00p  ET,,Box Score,@,Orlando Magic,L,,109,116,0,1,L 1,
1,2,"Sat, Oct 21, 2017",8:00p  ET,,Box Score,,Indiana Pacers,W,,112,108,1,1,W 1,
2,3,"Mon, Oct 23, 2017",7:30p  ET,,Box Score,,Atlanta Hawks,W,,104,93,2,1,W 2,
3,4,"Wed, Oct 25, 2017",8:00p  ET,,Box Score,,San Antonio Spurs,L,,100,117,2,2,L 1,
4,5,"Sat, Oct 28, 2017",8:00p  ET,,Box Score,,Boston Celtics,L,,90,96,2,3,L 2,
5,6,"Mon, Oct 30, 2017",7:30p  ET,,Box Score,,Minnesota Timberwolves,L,OT,122,125,2,4,L 3,
6,7,"Wed, Nov 1, 2017",7:30p  ET,,Box Score,,Chicago Bulls,W,,97,91,3,4,W 1,
7,8,"Fri, Nov 3, 2017",9:00p  ET,,Box Score,@,Denver Nuggets,L,,94,95,3,5,L 1,
8,9,"Sun, Nov 5, 2017",3:30p  ET,,Box Score,@,Los Angeles Clippers,W,,104,101,4,5,W 1,
9,10,"Mon, Nov 6, 2017",10:30p  ET,,Box Score,@,Golden State Warriors,L,,80,97,4,6,L 1,
10,11,"Wed, Nov 8, 2017",9:00p  ET,,Box Score,@,Phoenix Suns,W,,126,115,5,6,W 1,
11,12,"Fri, Nov 10, 2017",9:00p  ET,,Box Score,@,Utah Jazz,W,,84,74,6,6,W 2,
12,13,"Sun, Nov 12, 2017",4:00p  ET,,Box Score,@,Detroit Pistons,L,,103,112,6,7,L 1,
13,14,"Wed, Nov 15, 2017",7:30p  ET,,Box Score,,Washington Wizards,L,,93,102,6,8,L 2,
14,15,"Fri, Nov 17, 2017",7:00p  ET,,Box Score,@,Washington Wizards,W,,91,88,7,8,W 1,
15,16,"Sun, Nov 19, 2017",5:00p  ET,,Box Score,,Indiana Pacers,L,,95,120,7,9,L 1,
16,17,"Wed, Nov 22, 2017",7:30p  ET,,Box Score,,Boston Celtics,W,,104,98,8,9,W 1,
17,18,"Fri, Nov 24, 2017",8:00p  ET,,Box Score,@,Minnesota Timberwolves,W,,109,97,9,9,W 2,
18,19,"Sun, Nov 26, 2017",3:30p  ET,,Box Score,@,Chicago Bulls,W,,100,93,10,9,W 3,
19,20,"Tue, Nov 28, 2017",7:00p  ET,,Box Score,@,Cleveland Cavaliers,L,,97,108,10,10,L 1,
21,21,"Wed, Nov 29, 2017",7:30p  ET,,Box Score,@,New York Knicks,L,,86,115,10,11,L 2,
22,22,"Fri, Dec 1, 2017",8:00p  ET,,Box Score,,Charlotte Hornets,W,,105,100,11,11,W 1,
23,23,"Sun, Dec 3, 2017",7:00p  ET,,Box Score,,Golden State Warriors,L,,95,123,11,12,L 1,
24,24,"Wed, Dec 6, 2017",8:30p  ET,,Box Score,@,San Antonio Spurs,L,,105,117,11,13,L 2,
25,25,"Sat, Dec 9, 2017",6:00p  ET,,Box Score,@,Brooklyn Nets,W,,101,89,12,13,W 1,"at Mexico City, Mexico"
26,26,"Mon, Dec 11, 2017",8:00p  ET,,Box Score,@,Memphis Grizzlies,W,,107,82,13,13,W 2,
27,27,"Wed, Dec 13, 2017",7:30p  ET,,Box Score,,Portland Trail Blazers,L,,95,102,13,14,L 1,
28,28,"Fri, Dec 15, 2017",7:00p  ET,,Box Score,@,Charlotte Hornets,W,,104,98,14,14,W 1,
29,29,"Sat, Dec 16, 2017",8:00p  ET,,Box Score,,Los Angeles Clippers,W,,90,85,15,14,W 2,
30,30,"Mon, Dec 18, 2017",7:30p  ET,,Box Score,@,Atlanta Hawks,L,,104,110,15,15,L 1,
31,31,"Wed, Dec 20, 2017",7:30p  ET,,Box Score,@,Boston Celtics,W,,90,89,16,15,W 1,
32,32,"Fri, Dec 22, 2017",8:00p  ET,,Box Score,,Dallas Mavericks,W,,113,101,17,15,W 2,
33,33,"Sat, Dec 23, 2017",8:00p  ET,,Box Score,,New Orleans Pelicans,L,,94,109,17,16,L 1,
34,34,"Tue, Dec 26, 2017",7:30p  ET,,Box Score,,Orlando Magic,W,,107,89,18,16,W 1,
35,35,"Fri, Dec 29, 2017",8:00p  ET,,Box Score,,Brooklyn Nets,L,,87,111,18,17,L 1,
