,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 18, 2017",7:30p  ET,,Box Score,@,Boston Celtics,W,,108,100,1,0,W 1,
1,2,"Fri, Oct 20, 2017",7:00p  ET,,Box Score,,Cleveland Cavaliers,L,,97,116,1,1,L 1,
2,3,"Sat, Oct 21, 2017",8:30p  ET,,Box Score,,Portland Trail Blazers,W,,113,110,2,1,W 1,
3,4,"Mon, Oct 23, 2017",8:00p  ET,,Box Score,,Charlotte Hornets,W,,103,94,3,1,W 2,
4,5,"Thu, Oct 26, 2017",8:00p  ET,,Box Score,,Boston Celtics,L,,89,96,3,2,L 1,
5,6,"Sun, Oct 29, 2017",3:30p  ET,,Box Score,@,Atlanta Hawks,W,,117,106,4,2,W 1,
6,7,"Tue, Oct 31, 2017",8:00p  ET,,Box Score,,Oklahoma City Thunder,L,,91,110,4,3,L 1,
7,8,"Wed, Nov 1, 2017",7:00p  ET,,Box Score,@,Charlotte Hornets,L,,121,126,4,4,L 2,
8,9,"Fri, Nov 3, 2017",7:00p  ET,,Box Score,@,Detroit Pistons,L,,96,105,4,5,L 3,
9,10,"Tue, Nov 7, 2017",7:00p  ET,,Box Score,@,Cleveland Cavaliers,L,,119,124,4,6,L 4,
10,11,"Fri, Nov 10, 2017",9:00p  ET,,Box Score,@,San Antonio Spurs,W,,94,87,5,6,W 1,
11,12,"Sat, Nov 11, 2017",8:30p  ET,,Box Score,,Los Angeles Lakers,W,,98,90,6,6,W 2,
12,13,"Mon, Nov 13, 2017",8:00p  ET,,Box Score,,Memphis Grizzlies,W,,110,103,7,6,W 3,
13,14,"Wed, Nov 15, 2017",8:00p  ET,,Box Score,,Detroit Pistons,W,,99,95,8,6,W 4,
14,15,"Sat, Nov 18, 2017",9:00p  ET,,Box Score,@,Dallas Mavericks,L,,79,111,8,7,L 1,
15,16,"Mon, Nov 20, 2017",8:00p  ET,,Box Score,,Washington Wizards,L,,88,99,8,8,L 2,
16,17,"Wed, Nov 22, 2017",9:00p  ET,,Box Score,@,Phoenix Suns,W,OT,113,107,9,8,W 1,
17,18,"Sat, Nov 25, 2017",9:00p  ET,,Box Score,@,Utah Jazz,L,,108,121,9,9,L 1,
18,19,"Tue, Nov 28, 2017",10:00p  ET,,Box Score,@,Sacramento Kings,W,,112,87,10,9,W 1,
19,20,"Thu, Nov 30, 2017",10:00p  ET,,Box Score,@,Portland Trail Blazers,W,,103,91,11,9,W 2,
21,21,"Sat, Dec 2, 2017",8:30p  ET,,Box Score,,Sacramento Kings,W,,109,104,12,9,W 3,
