,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 18, 2017",7:00p  ET,,Box Score,,Miami Heat,W,,116,109,1,0,W 1,
1,2,"Fri, Oct 20, 2017",7:30p  ET,,Box Score,@,Brooklyn Nets,L,,121,126,1,1,L 1,
2,3,"Sat, Oct 21, 2017",8:00p  ET,,Box Score,@,Cleveland Cavaliers,W,,114,93,2,1,W 1,
3,4,"Tue, Oct 24, 2017",7:00p  ET,,Box Score,,Brooklyn Nets,W,,125,121,3,1,W 2,
4,5,"Fri, Oct 27, 2017",7:00p  ET,,Box Score,,San Antonio Spurs,W,,114,87,4,1,W 3,
5,6,"Sun, Oct 29, 2017",6:00p  ET,,Box Score,@,Charlotte Hornets,L,,113,120,4,2,L 1,
6,7,"Mon, Oct 30, 2017",8:00p  ET,,Box Score,@,New Orleans Pelicans,W,,115,99,5,2,W 1,
7,8,"Wed, Nov 1, 2017",8:00p  ET,,Box Score,@,Memphis Grizzlies,W,,101,99,6,2,W 2,
8,9,"Fri, Nov 3, 2017",7:00p  ET,,Box Score,,Chicago Bulls,L,,83,105,6,3,L 1,
9,10,"Sun, Nov 5, 2017",6:00p  ET,,Box Score,,Boston Celtics,L,,88,104,6,4,L 2,
10,11,"Wed, Nov 8, 2017",7:00p  ET,,Box Score,,New York Knicks,W,,112,99,7,4,W 1,
11,12,"Fri, Nov 10, 2017",9:00p  ET,,Box Score,@,Phoenix Suns,W,,128,112,8,4,W 2,
12,13,"Sat, Nov 11, 2017",9:00p  ET,,Box Score,@,Denver Nuggets,L,,107,125,8,5,L 1,
13,14,"Mon, Nov 13, 2017",10:30p  ET,,Box Score,@,Golden State Warriors,L,,100,110,8,6,L 2,
14,15,"Wed, Nov 15, 2017",10:00p  ET,,Box Score,@,Portland Trail Blazers,L,,94,99,8,7,L 3,
15,16,"Sat, Nov 18, 2017",7:00p  ET,,Box Score,,Utah Jazz,L,,85,125,8,8,L 4,
16,17,"Mon, Nov 20, 2017",7:00p  ET,,Box Score,,Indiana Pacers,L,,97,105,8,9,L 5,
17,18,"Wed, Nov 22, 2017",8:00p  ET,,Box Score,@,Minnesota Timberwolves,L,,118,124,8,10,L 6,
18,19,"Fri, Nov 24, 2017",7:30p  ET,,Box Score,@,Boston Celtics,L,,103,118,8,11,L 7,
19,20,"Sat, Nov 25, 2017",7:00p  ET,,Box Score,@,Philadelphia 76ers,L,,111,130,8,12,L 8,
21,21,"Mon, Nov 27, 2017",7:00p  ET,,Box Score,@,Indiana Pacers,L,,109,121,8,13,L 9,
22,22,"Wed, Nov 29, 2017",7:00p  ET,,Box Score,,Oklahoma City Thunder,W,,121,108,9,13,W 1,
23,23,"Fri, Dec 1, 2017",7:00p  ET,,Box Score,,Golden State Warriors,L,,112,133,9,14,L 1,
24,24,"Sun, Dec 3, 2017",3:30p  ET,,Box Score,@,New York Knicks,W,,105,100,10,14,W 1,
25,25,"Mon, Dec 4, 2017",7:00p  ET,,Box Score,@,Charlotte Hornets,L,,94,104,10,15,L 1,
26,26,"Wed, Dec 6, 2017",7:00p  ET,,Box Score,,Atlanta Hawks,W,OT,110,106,11,15,W 1,
27,27,"Fri, Dec 8, 2017",7:00p  ET,,Box Score,,Denver Nuggets,L,,89,103,11,16,L 1,
28,28,"Sat, Dec 9, 2017",7:30p  ET,,Box Score,@,Atlanta Hawks,L,,110,117,11,17,L 2,
29,29,"Wed, Dec 13, 2017",7:00p  ET,,Box Score,,Los Angeles Clippers,L,,95,106,11,18,L 3,
30,30,"Fri, Dec 15, 2017",7:00p  ET,,Box Score,,Portland Trail Blazers,L,,88,95,11,19,L 4,
31,31,"Sun, Dec 17, 2017",4:00p  ET,,Box Score,@,Detroit Pistons,L,,110,114,11,20,L 5,
32,32,"Wed, Dec 20, 2017",8:00p  ET,,Box Score,@,Chicago Bulls,L,,94,112,11,21,L 6,
33,33,"Fri, Dec 22, 2017",7:00p  ET,,Box Score,,New Orleans Pelicans,L,,97,111,11,22,L 7,
34,34,"Sat, Dec 23, 2017",7:00p  ET,,Box Score,@,Washington Wizards,L,,103,130,11,23,L 8,
