,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 18, 2017",7:00p  ET,,Box Score,@,Washington Wizards,L,,115,120,0,1,L 1,
1,2,"Fri, Oct 20, 2017",7:00p  ET,,Box Score,,Boston Celtics,L,,92,102,0,2,L 2,
2,3,"Sat, Oct 21, 2017",7:30p  ET,,Box Score,@,Toronto Raptors,L,,94,128,0,3,L 3,
3,4,"Mon, Oct 23, 2017",7:00p  ET,,Box Score,@,Detroit Pistons,W,,97,86,1,3,W 1,
4,5,"Wed, Oct 25, 2017",7:00p  ET,,Box Score,,Houston Rockets,L,,104,105,1,4,L 1,
5,6,"Sat, Oct 28, 2017",8:30p  ET,,Box Score,@,Dallas Mavericks,W,,112,110,2,4,W 1,
6,7,"Mon, Oct 30, 2017",8:00p  ET,,Box Score,@,Houston Rockets,W,,115,107,3,4,W 2,
7,8,"Wed, Nov 1, 2017",7:00p  ET,,Box Score,,Atlanta Hawks,W,,119,109,4,4,W 3,
8,9,"Fri, Nov 3, 2017",7:00p  ET,,Box Score,,Indiana Pacers,W,,121,110,5,4,W 4,
9,10,"Tue, Nov 7, 2017",9:00p  ET,,Box Score,@,Utah Jazz,W,,104,97,6,4,W 5,
10,11,"Thu, Nov 9, 2017",10:00p  ET,,Box Score,@,Sacramento Kings,L,,108,109,6,5,L 1,
11,12,"Sat, Nov 11, 2017",8:30p  ET,,Box Score,@,Golden State Warriors,L,,114,135,6,6,L 2,
12,13,"Mon, Nov 13, 2017",10:30p  ET,,Box Score,@,Los Angeles Clippers,W,,109,105,7,6,W 1,
13,14,"Wed, Nov 15, 2017",10:30p  ET,,Box Score,@,Los Angeles Lakers,W,,115,109,8,6,W 2,
14,15,"Sat, Nov 18, 2017",7:30p  ET,,Box Score,,Golden State Warriors,L,,116,124,8,7,L 1,
15,16,"Mon, Nov 20, 2017",7:00p  ET,,Box Score,,Utah Jazz,W,,107,86,9,7,W 1,
16,17,"Wed, Nov 22, 2017",7:00p  ET,,Box Score,,Portland Trail Blazers,W,,101,81,10,7,W 2,
17,18,"Sat, Nov 25, 2017",7:00p  ET,,Box Score,,Orlando Magic,W,,130,111,11,7,W 3,
18,19,"Mon, Nov 27, 2017",7:00p  ET,,Box Score,,Cleveland Cavaliers,L,,91,113,11,8,L 1,
19,20,"Wed, Nov 29, 2017",7:00p  ET,,Box Score,,Washington Wizards,W,,118,113,12,8,W 1,
21,21,"Thu, Nov 30, 2017",7:30p  ET,,Box Score,@,Boston Celtics,L,,97,108,12,9,L 1,
22,22,"Sat, Dec 2, 2017",7:30p  ET,,Box Score,,Detroit Pistons,W,,108,103,13,9,W 1,
23,23,"Mon, Dec 4, 2017",7:00p  ET,,Box Score,,Phoenix Suns,L,,101,115,13,10,L 1,
24,24,"Thu, Dec 7, 2017",8:00p  ET,,Box Score,,Los Angeles Lakers,L,,104,107,13,11,L 2,
25,25,"Sat, Dec 9, 2017",8:00p  ET,,Box Score,@,Cleveland Cavaliers,L,,98,105,13,12,L 3,
